iter	RMSE
665	47918.82944
666	47918.0439
667	47917.71426
668	47917.3034
669	47916.02942
670	47915.83531
671	47915.14343
672	47914.41742
673	47914.2833
674	47913.99361
675	47913.07027
676	47912.11748
677	47911.37684
678	47909.97513
679	47909.35457
680	47908.95967
681	47908.19112
682	47907.9549
683	47907.45613
684	47906.96284
685	47906.65877
686	47906.33943
687	47905.48398
688	47904.62332
689	47904.28597
690	47904.06223
691	47903.12013
692	47902.42903
693	47901.94883
694	47900.71995
695	47900.1252
696	47899.91461
697	47899.56114
698	47899.54099
699	47898.93845
700	47898.44418
701	47897.23431
702	47897.07665
703	47896.87779
704	47896.35889
705	47895.97443
706	47895.47261
707	47894.87504
708	47894.83033
709	47894.10853
710	47893.80612
711	47893.28208
712	47892.7148
713	47892.44052
714	47891.42872
715	47890.97283
716	47890.52526
717	47889.58682
718	47888.47636
719	47888.0981
720	47886.63531
721	47886.30829
722	47885.83097
723	47885.05495
724	47884.21961
725	47883.83113
726	47883.39272
727	47883.36498
728	47882.7539
729	47882.47392
730	47881.95114
731	47881.52861
732	47881.11874
733	47880.88965
734	47880.66031
735	47880.07652
736	47879.43624
737	47878.76655
738	47878.23058
739	47877.32184
740	47877.10374
741	47876.84635
742	47876.14931
743	47875.99556
744	47875.93653
745	47875.48087
746	47875.24457
747	47874.79973
748	47874.51944
749	47874.25874
750	47873.97862
751	47873.59577
752	47873.43344
753	47872.84008
754	47872.6318
755	47872.20753
756	47871.37238
757	47871.34148
758	47870.85128
759	47870.57756
760	47870.19705
761	47869.03777
762	47868.13685
763	47867.70301
764	47867.04098
765	47866.83238
766	47866.48423
767	47866.35981
768	47866.10783
769	47865.88597
770	47865.49288
771	47864.87302
772	47864.27244
773	47863.7377
774	47862.92938
775	47862.55625
776	47862.09711
777	47861.73516
778	47861.28236
779	47860.94805
780	47860.16407
781	47859.96181
782	47859.14268
783	47858.72441
784	47858.42437
785	47858.12865
786	47857.88838
787	47857.43338
788	47857.05016
789	47856.79598
790	47856.52904
791	47855.62284
792	47855.47513
793	47855.24591
794	47854.98712
795	47854.92467
796	47854.66339
797	47854.59363
798	47854.24828
799	47854.03977
800	47853.71647
801	47853.63005
802	47853.19025
803	47853.02114
804	47852.74132
805	47852.00843
806	47851.61249
807	47851.31992
808	47850.20386
809	47850.00796
810	47849.80323
811	47849.67968
812	47848.91815
813	47848.72219
814	47848.38382
815	47848.14343
816	47847.9077
817	47847.63502
818	47847.4792
819	47847.28783
820	47847.06641
821	47846.88491
822	47846.10786
823	47845.62226
824	47844.89497
825	47844.62137
826	47844.41448
827	47844.17292
828	47843.93394
829	47843.22152
830	47842.44171
831	47841.62227
832	47841.09774
833	47840.49574
834	47839.99942
835	47839.90526
836	47839.6535
837	47839.27887
838	47839.2232
839	47838.94947
840	47838.85128
841	47838.31858
842	47838.07961
843	47837.95016
844	47837.78863
845	47836.69362
846	47836.07695
847	47835.94353
848	47835.7882
849	47835.71252
850	47835.26046
851	47833.88566
852	47833.76944
853	47833.60694
854	47832.47587
855	47831.43696
856	47831.29166
857	47831.17597
858	47831.1228
859	47830.38026
860	47830.08056
861	47829.73917
862	47829.70218
863	47829.02917
864	47828.26519
865	47827.87728
866	47827.65272
867	47827.49951
868	47826.84969
869	47826.81063
870	47826.08331
871	47825.86774
872	47825.7845
873	47825.6206
874	47825.0905
875	47824.84749
876	47824.54372
877	47824.45513
878	47824.33713
879	47824.13458
880	47823.8427
881	47823.46185
882	47823.00749
883	47822.8138
884	47822.77295
885	47822.54211
886	47821.90605
887	47821.63804
888	47821.51051
889	47821.25174
890	47820.943
891	47819.68765
892	47819.4791
893	47819.33805
894	47819.17425
895	47818.44319
896	47818.22476
897	47817.56175
898	47817.42896
899	47817.37975
900	47816.95622
901	47816.63978
902	47816.09609
903	47815.74861
904	47815.6995
905	47815.6477
906	47815.35349
907	47815.29323
908	47815.05232
909	47814.27235
910	47813.97376
911	47813.74585
912	47813.28094
913	47813.00622
914	47812.91407
915	47812.44871
916	47812.28124
917	47812.04235
918	47811.78664
919	47811.57467
920	47811.24648
921	47811.18812
922	47810.64229
923	47810.41562
924	47810.19049
925	47810.07979
926	47809.90936
927	47809.68511
928	47809.2572
929	47809.11443
930	47809.01909
931	47808.29785
932	47808.0994
933	47808.0842
934	47807.21839
935	47807.14506
936	47806.85169
937	47806.77381
938	47806.6422
939	47806.41389
940	47806.32693
941	47805.83036
942	47805.69653
943	47805.58766
944	47805.51379
945	47805.35718
946	47805.3378
947	47805.19282
948	47805.00542
949	47804.80065
950	47804.47224
951	47804.3119
952	47804.17317
953	47803.88529
954	47803.71599
955	47802.98472
956	47802.82918
957	47802.51446
958	47802.46394
959	47801.95516
960	47801.71988
961	47801.61846
962	47801.38313
963	47801.16143
964	47801.13778
965	47801.0288
966	47800.8701
967	47800.74625
968	47800.58785
969	47800.50341
970	47800.4429
971	47800.26579
972	47799.99718
973	47799.9753
974	47799.18074
975	47799.06428
976	47799.01684
977	47798.94951
978	47798.82324
979	47798.63593
980	47798.42013
981	47798.32992
982	47797.40766
983	47797.20894
984	47797.03147
985	47797.00679
986	47796.93731
987	47796.44076
988	47796.21966
989	47795.99807
990	47795.77584
991	47795.47727
992	47795.35808
993	47795.251
994	47795.01905
995	47794.92705
996	47794.89273
997	47794.74942
998	47794.58492
999	47794.21723
